race_id,venue,date,race_no,axis,invest,return,payout_100,hit,actual,n_bets,bets,engine
2420260214010007,宇都宮,2026-02-14,7,5,2500,0,2700,False,7-1-2,14,"5-1-3,5-3-1,5-1-7,5-7-1,1-5-4",EngineB
2420260214010008,宇都宮,2026-02-14,8,4,2500,13250,13250,True,1-7-4,14,"4-7-1,7-4-1,4-1-7,4-5-7,1-4-7",EngineB
2420260214010009,宇都宮,2026-02-14,9,7,2600,0,5340,False,2-4-7,14,"7-2-1,7-2-3,7-2-5,7-5-2,2-7-1",EngineB
2420260214010010,宇都宮,2026-02-14,10,1,2600,0,40210,False,4-6-3,14,"4-2-1,6-2-1,4-2-5,6-2-5,3-7-2",EngineB
2420260214010011,宇都宮,2026-02-14,11,1,2600,0,1490,False,5-3-4,14,"1-5-4,1-4-5,5-1-4,4-1-5,5-1-2",EngineB
2420260214020007,宇都宮,2026-02-15,7,1,2300,0,31260,False,4-3-6,14,"2-1-3,1-7-6,1-3-7,2-4-6,4-2-6",EngineB
2420260214030005,宇都宮,2026-02-16,5,5,2600,0,3320,False,2-1-5,14,"5-4-1,4-5-1,5-1-4,5-4-2,1-5-4",EngineB
2420260214030006,宇都宮,2026-02-16,6,3,2400,0,41110,False,5-2-1,14,"3-1-6,3-6-1,3-1-2,3-2-1,3-1-7",EngineB
2420260214030007,宇都宮,2026-02-16,7,2,2100,0,14800,False,7-3-4,14,"2-4-7,2-7-4,2-4-3,2-7-3,2-3-4",EngineB
2720260203010006,京王閣,2026-02-03,6,7,2400,0,860,False,7-1-2,14,"7-5-1,7-5-4,7-3-4,7-1-5,7-4-5",EngineB
2720260203010009,京王閣,2026-02-03,9,2,2700,0,3620,False,2-4-6,14,"2-7-4,2-4-7,7-2-4,2-7-1,2-7-3",EngineB
2720260203010012,京王閣,2026-02-03,12,4,2600,0,2150,False,1-5-2,14,"4-2-5,4-1-7,4-2-6,4-1-5,4-2-1",EngineB
2720260203020007,京王閣,2026-02-04,7,2,2500,12200,12200,True,5-2-3,14,"2-5-3,2-5-1,5-2-3,2-3-5,2-1-5",EngineB
2720260203020008,京王閣,2026-02-04,8,2,2600,0,6850,False,4-1-2,14,"2-7-4,7-2-4,2-4-7,7-4-2,4-2-7",EngineB
2720260203020009,京王閣,2026-02-04,9,2,2600,166660,12820,True,2-5-4,14,"2-5-4,2-5-1,2-1-5,2-1-4,2-5-6",EngineB
2720260203030005,京王閣,2026-02-05,5,1,2500,1310,1310,True,1-5-4,14,"1-4-3,1-4-5,1-3-4,1-5-4,1-2-5",EngineB
2720260203030007,京王閣,2026-02-05,7,5,2400,0,8110,False,4-2-1,14,"5-1-2,5-1-4,5-1-3,5-2-1,5-4-1",EngineB
2720260203030010,京王閣,2026-02-05,10,1,2200,0,19590,False,4-5-1,14,"1-2-5,2-1-5,1-5-2,5-1-2,2-5-1",EngineB
2820260209010006,立川,2026-02-09,6,5,2600,0,4780,False,5-1-4,14,"2-1-5,2-5-1,2-5-7,1-2-5,5-2-1",EngineB
2820260209010008,立川,2026-02-09,8,3,2500,0,2470,False,5-3-2,14,"3-2-1,3-1-2,3-1-6,3-2-5,3-2-7",EngineB
2820260209010010,立川,2026-02-09,10,2,2600,2920,2920,True,7-3-1,14,"2-1-3,2-1-5,3-1-7,7-1-3,2-7-1",EngineB
2820260209010011,立川,2026-02-09,11,5,2600,2830,2830,True,5-2-4,14,"5-2-6,5-6-2,5-2-7,2-5-6,5-7-2",EngineB
2820260209020012,立川,2026-02-10,12,5,2400,0,14180,False,1-4-2,14,"5-7-3,5-3-7,7-5-3,3-5-7,7-3-5",EngineB
2820260209030006,立川,2026-02-11,6,4,2500,73920,6160,True,4-5-3,14,"4-5-3,4-3-5,5-4-3,4-5-2,3-4-5",EngineB
3120260204010006,松戸,2026-02-04,6,7,2700,1330,1330,True,5-2-7,14,"7-2-3,7-2-5,7-2-1,2-7-5,7-2-4",EngineB
3120260204010007,松戸,2026-02-04,7,2,2700,1700,1700,True,2-4-3,14,"2-4-7,2-4-3,2-4-1,2-4-5,4-2-7",EngineB
3120260204010008,松戸,2026-02-04,8,2,2600,0,81830,False,5-7-1,14,"7-2-5,7-5-2,7-2-1,7-2-4,7-4-2",EngineB
3120260204010011,松戸,2026-02-04,11,3,2400,6030,6030,True,3-2-7,14,"3-7-1,3-7-4,3-7-5,3-7-2,3-7-6",EngineB
3120260204010012,松戸,2026-02-04,12,5,2600,0,4690,False,4-5-7,14,"6-2-5,2-6-5,6-2-7,2-6-7,2-7-6",EngineB
3120260204020006,松戸,2026-02-05,6,1,2400,0,2860,False,5-7-4,14,"1-5-4,1-4-5,1-5-3,1-4-3,1-5-2",EngineB
3120260204020007,松戸,2026-02-05,7,4,2600,1780,1780,True,4-1-2,14,"4-1-3,4-3-1,4-1-5,4-1-2,1-4-3",EngineB
3520260209010008,平塚,2026-02-09,8,1,2600,0,1040,False,7-3-6,14,"1-5-4,1-4-5,5-1-4,1-5-3,1-5-7",EngineB
3520260209010009,平塚,2026-02-09,9,5,2700,0,12140,False,2-7-1,14,"5-3-2,5-2-3,5-1-3,5-2-4,5-4-2",EngineB
3520260209020008,平塚,2026-02-10,8,3,2700,0,1070,False,3-5-1,14,"3-7-1,3-1-7,7-2-3,3-7-2,3-7-5",EngineB
3520260209020009,平塚,2026-02-10,9,1,2600,0,16140,False,6-2-1,14,"4-2-5,2-4-5,2-5-4,4-1-5,1-4-5",EngineB
3720260220010006,伊東,2026-02-20,6,5,2400,0,3340,False,2-5-3,14,"5-4-3,5-3-4,5-7-3,5-3-7,5-4-2",EngineB
3720260220010012,伊東,2026-02-20,12,4,2500,730,730,True,4-5-1,14,"4-1-3,4-3-1,4-1-6,4-6-1,4-1-5",EngineB
3720260220020006,伊東,2026-02-21,6,2,2600,0,3930,False,3-1-2,14,"2-1-3,2-3-1,2-1-4,1-2-3,2-4-1",EngineB
3720260220020007,伊東,2026-02-21,7,5,2600,0,3690,False,1-2-4,14,"5-1-3,1-5-3,5-1-2,5-1-4,1-5-2",EngineB
3720260220030007,伊東,2026-02-22,7,1,2400,0,1550,False,1-5-2,14,"1-3-4,1-3-2,3-1-4,3-1-2,1-4-3",EngineB
4520260223010006,豊橋,2026-02-23,6,2,2600,0,3170,False,2-7-5,14,"2-3-7,3-2-7,2-7-3,7-2-3,3-7-2",EngineB
4520260223010008,豊橋,2026-02-23,8,1,2500,650,650,True,1-4-7,14,"1-7-6,1-7-2,1-2-7,2-1-7,2-1-6",EngineB
4520260223010009,豊橋,2026-02-23,9,4,2700,0,830,False,1-4-2,14,"4-7-5,4-5-7,1-7-5,4-7-2,7-4-1",EngineB
4520260223010010,豊橋,2026-02-23,10,2,2600,2940,2940,True,2-4-6,14,"2-5-4,2-5-6,2-4-5,2-6-5,2-4-6",EngineB
4520260223020007,豊橋,2026-02-24,7,2,2700,0,11360,False,2-3-4,14,"2-1-4,1-2-4,2-4-1,2-5-1,4-2-1",EngineB
4720260201010011,松阪,2026-02-01,11,1,2700,0,25260,False,4-6-2,14,"1-5-4,1-5-3,1-4-5,1-3-5,4-1-5",EngineB
4720260201010012,松阪,2026-02-01,12,3,2600,0,12440,False,2-7-1,14,"1-3-7,1-7-3,3-1-2,3-2-1,1-3-2",EngineB
4720260201020009,松阪,2026-02-02,9,1,2600,2980,2980,True,1-2-7,14,"1-7-5,7-1-5,1-5-7,7-5-1,1-7-6",EngineB
4720260201020010,松阪,2026-02-02,10,4,2700,0,2880,False,4-2-1,14,"4-7-1,4-7-3,4-2-7,4-1-7,2-4-7",EngineB
4720260201030006,松阪,2026-02-03,6,3,2700,0,3490,False,1-4-5,14,"3-4-1,4-3-1,3-7-1,1-5-3,3-4-7",EngineB
4720260201030007,松阪,2026-02-03,7,3,2200,0,78000,False,5-7-6,14,"3-2-5,3-5-2,3-2-1,3-1-2,3-5-1",EngineB
4720260201030009,松阪,2026-02-03,9,4,2700,0,258080,False,6-1-7,14,"4-1-7,1-4-7,4-7-1,4-1-5,7-4-1",EngineB
7420260210010008,高知,2026-02-10,8,2,2600,0,2300,False,7-2-3,14,"2-4-7,2-4-3,4-2-7,4-2-3,2-7-4",EngineB
7420260210010011,高知,2026-02-10,11,1,2700,0,12620,False,3-1-4,14,"1-5-7,5-1-7,1-5-3,1-5-4,1-7-5",EngineB
8620260212010006,別府,2026-02-12,6,7,2500,0,4210,False,4-2-5,14,"7-3-1,7-1-3,3-7-1,1-7-3,1-3-7",EngineB
8620260212010008,別府,2026-02-12,8,1,2600,0,660,False,4-7-2,14,"1-5-6,1-7-6,5-1-6,1-5-7,1-7-5",EngineB
8620260212010010,別府,2026-02-12,10,2,2400,0,1130,False,5-1-2,14,"2-7-1,2-7-5,2-1-7,2-7-3,2-5-7",EngineB
8620260212010012,別府,2026-02-12,12,3,2600,0,19240,False,1-5-4,14,"4-2-3,2-3-4,3-2-4,3-4-2,4-3-2",EngineB
8620260212020007,別府,2026-02-13,7,1,2300,65640,10940,True,6-1-4,14,"6-1-4,1-6-4,6-4-1,4-6-1,1-4-6",EngineB
8620260212030006,別府,2026-02-14,6,5,2400,0,8750,False,5-2-7,14,"5-3-4,5-3-7,5-4-3,5-3-1,5-7-3",EngineB
8720260220010011,熊本,2026-02-20,11,9,2700,8960,8960,True,2-8-9,14,"9-5-8,5-9-8,9-2-5,9-5-2,9-1-5",EngineB
8720260220010012,熊本,2026-02-20,12,1,2700,0,4120,False,9-1-2,14,"1-8-6,1-6-8,1-8-2,9-8-2,1-4-6",EngineB
8720260220020003,熊本,2026-02-21,3,5,2500,0,35410,False,3-8-4,14,"2-1-5,2-5-1,1-2-5,5-2-1,1-5-2",EngineB
8720260220020004,熊本,2026-02-21,4,7,2700,0,63550,False,5-3-4,14,"2-7-4,2-7-1,7-2-4,2-7-5,7-2-1",EngineB
8720260220020012,熊本,2026-02-21,12,1,2700,0,189590,False,7-4-6,14,"1-4-6,1-4-3,5-8-4,9-4-1,9-4-3",EngineB
8720260220030007,熊本,2026-02-22,7,1,2600,0,1970,False,1-9-5,14,"4-3-1,3-4-1,4-7-3,4-3-7,4-3-6",EngineB
8720260220030011,熊本,2026-02-22,11,3,2600,7930,7930,True,3-8-1,14,"7-4-2,7-2-4,2-7-4,3-8-7,2-4-7",EngineB
8720260220030012,熊本,2026-02-22,12,3,2500,0,21130,False,3-1-5,14,"3-2-1,3-2-5,3-2-9,3-9-2,3-1-9",EngineB
8720260220040002,熊本,2026-02-23,2,3,2700,0,17640,False,3-7-4,14,"3-7-8,3-7-1,3-7-2,7-3-4,3-7-5",EngineB
8720260220040010,熊本,2026-02-23,10,6,2600,0,5240,False,3-4-9,14,"6-2-4,2-6-4,3-4-6,6-2-5,2-6-5",EngineB
8720260220040012,熊本,2026-02-23,12,4,2200,0,1940,False,3-9-7,14,"4-3-9,4-1-7,4-7-1,4-1-9,4-1-2",EngineB
2320260217010007,取手,2026-02-17,7,7,2700,990,990,True,3-7-1,14,"7-1-3,7-3-1,1-7-3,7-5-3,7-3-5",EngineC
2320260217010008,取手,2026-02-17,8,1,2500,0,2450,False,5-1-6,14,"1-4-5,1-4-7,1-4-3,4-1-5,4-1-7",EngineC
2320260217010010,取手,2026-02-17,10,5,2700,0,2090,False,4-1-3,14,"5-3-7,5-3-4,5-7-3,5-2-7,5-7-2",EngineC
2320260217010011,取手,2026-02-17,11,2,2600,0,26350,False,4-1-2,14,"2-4-5,2-4-7,2-5-4,2-7-4,4-2-5",EngineC
2320260217020006,取手,2026-02-18,6,1,2500,0,25050,False,1-2-7,14,"2-5-1,2-1-5,2-1-4,5-2-4,5-2-1",EngineC
2320260217020007,取手,2026-02-18,7,7,2400,0,790,False,7-3-1,14,"7-4-1,7-4-2,7-1-4,7-2-4,7-4-3",EngineC
2320260217030005,取手,2026-02-19,5,1,2500,0,2260,False,4-3-5,14,"1-7-5,7-1-5,4-1-7,7-2-3,1-5-7",EngineC
2420260131020007,宇都宮,2026-02-01,7,4,2700,6850,6850,True,4-6-5,14,"6-1-4,6-4-1,1-6-4,4-6-1,4-6-3",EngineC
2420260131020010,宇都宮,2026-02-01,10,2,2500,0,1320,False,2-4-3,14,"2-7-4,7-2-1,2-7-1,2-4-7,7-1-2",EngineC
2420260131030005,宇都宮,2026-02-02,5,4,2700,8580,8580,True,1-6-4,14,"6-4-2,4-2-6,6-1-4,1-4-6,2-4-6",EngineC
2420260131030006,宇都宮,2026-02-02,6,5,2400,0,36080,False,7-6-5,14,"5-2-4,5-4-2,5-4-6,5-2-7,5-7-2",EngineC
2420260131030010,宇都宮,2026-02-02,10,3,2600,0,6680,False,2-3-7,14,"3-4-1,4-3-1,3-1-4,3-4-2,4-1-3",EngineC
2420260214010006,宇都宮,2026-02-14,6,3,2400,11690,11690,True,3-5-7,14,"3-5-4,3-4-5,3-5-7,3-4-1,3-7-5",EngineC
2420260214010007,宇都宮,2026-02-14,7,5,2500,0,2700,False,7-1-2,14,"5-1-3,5-1-7,5-3-1,1-5-4,1-5-3",EngineC
2420260214010008,宇都宮,2026-02-14,8,4,2500,0,13250,False,1-7-4,14,"4-7-1,7-4-1,4-1-7,4-5-7,4-1-5",EngineC
2420260214010009,宇都宮,2026-02-14,9,7,2600,0,5340,False,2-4-7,14,"7-2-1,7-2-3,7-2-5,7-5-2,2-7-1",EngineC
2420260214010010,宇都宮,2026-02-14,10,4,2700,0,40210,False,4-6-3,14,"4-2-1,1-4-2,6-2-1,4-2-5,3-7-2",EngineC
2420260214010011,宇都宮,2026-02-14,11,5,2600,0,1490,False,5-3-4,14,"1-5-4,1-4-5,5-1-4,5-1-2,4-1-5",EngineC
2420260214020007,宇都宮,2026-02-15,7,1,2200,0,31260,False,4-3-6,14,"2-1-3,1-7-6,2-4-6,4-2-6,1-3-7",EngineC
2420260214030005,宇都宮,2026-02-16,5,5,2600,0,3320,False,2-1-5,14,"5-4-1,4-5-1,5-1-4,5-4-2,4-5-2",EngineC
2420260214030006,宇都宮,2026-02-16,6,3,2400,0,41110,False,5-2-1,14,"3-1-6,3-6-1,3-1-2,3-2-1,3-1-5",EngineC
2420260214030007,宇都宮,2026-02-16,7,2,2100,0,14800,False,7-3-4,14,"2-4-7,2-7-4,2-4-3,2-7-3,2-3-4",EngineC
2720260203010006,京王閣,2026-02-03,6,7,2400,0,860,False,7-1-2,14,"7-5-1,7-3-4,7-1-5,7-1-3,7-5-4",EngineC
2720260203010009,京王閣,2026-02-03,9,2,2700,0,3620,False,2-4-6,14,"2-7-4,2-4-7,7-2-4,2-7-1,2-7-3",EngineC
2720260203010012,京王閣,2026-02-03,12,4,2600,0,2150,False,1-5-2,14,"4-2-5,4-2-6,4-1-7,4-1-5,4-2-3",EngineC
2720260203020007,京王閣,2026-02-04,7,2,2600,12200,12200,True,5-2-3,14,"2-5-3,2-5-1,2-3-5,5-2-3,2-1-5",EngineC
2720260203020008,京王閣,2026-02-04,8,2,2600,0,6850,False,4-1-2,14,"2-7-4,7-2-4,2-4-7,7-4-2,4-2-7",EngineC
2720260203020009,京王閣,2026-02-04,9,2,2700,179480,12820,True,2-5-4,14,"2-5-4,2-5-1,2-1-5,2-1-4,2-5-6",EngineC
2720260203030005,京王閣,2026-02-05,5,1,2600,1310,1310,True,1-5-4,14,"1-4-5,1-4-3,1-5-4,1-3-4,1-2-5",EngineC
2720260203030007,京王閣,2026-02-05,7,5,2500,0,8110,False,4-2-1,14,"5-1-2,5-1-3,5-1-4,5-2-1,5-4-1",EngineC
2720260203030010,京王閣,2026-02-05,10,1,2200,0,19590,False,4-5-1,14,"1-2-5,2-1-5,1-5-2,5-1-2,2-5-1",EngineC
2820260209010006,立川,2026-02-09,6,1,2600,0,4780,False,5-1-4,14,"2-1-5,2-5-1,2-5-7,1-2-5,1-2-7",EngineC
2820260209010008,立川,2026-02-09,8,3,2500,0,2470,False,5-3-2,14,"3-2-1,3-1-2,3-1-6,3-2-5,3-2-7",EngineC
2820260209010010,立川,2026-02-09,10,2,2600,2920,2920,True,7-3-1,14,"2-1-3,2-1-5,7-1-3,3-1-7,2-7-1",EngineC
2820260209010011,立川,2026-02-09,11,5,2600,0,2830,False,5-2-4,14,"5-2-6,5-6-2,5-2-7,2-5-6,6-5-2",EngineC
2820260209020012,立川,2026-02-10,12,5,2400,0,14180,False,1-4-2,14,"5-7-3,5-3-7,7-5-3,3-5-7,5-7-4",EngineC
2820260209030006,立川,2026-02-11,6,4,2500,73920,6160,True,4-5-3,14,"4-5-3,5-4-3,4-3-5,4-5-2,4-5-1",EngineC
3120260204010006,松戸,2026-02-04,6,7,2700,0,1330,False,5-2-7,14,"7-2-3,7-2-5,7-2-1,2-7-5,7-2-4",EngineC
3120260204010007,松戸,2026-02-04,7,2,2700,1700,1700,True,2-4-3,14,"2-4-7,2-4-3,2-4-5,4-2-7,2-4-1",EngineC
3120260204010008,松戸,2026-02-04,8,7,2600,0,81830,False,5-7-1,14,"7-2-5,7-5-2,7-2-1,7-2-4,7-4-2",EngineC
3120260204010011,松戸,2026-02-04,11,3,2500,6030,6030,True,3-2-7,14,"3-7-1,3-7-4,3-7-5,3-7-2,3-7-6",EngineC
3120260204010012,松戸,2026-02-04,12,5,2600,0,4690,False,4-5-7,14,"6-2-5,2-6-5,6-2-7,2-6-7,2-7-6",EngineC
3120260204020006,松戸,2026-02-05,6,1,2400,0,2860,False,5-7-4,14,"1-5-4,1-4-5,1-5-3,1-4-3,1-5-7",EngineC
3120260204020007,松戸,2026-02-05,7,4,2600,1780,1780,True,4-1-2,14,"4-1-3,4-3-1,4-1-2,4-1-5,4-3-5",EngineC
3520260209010008,平塚,2026-02-09,8,1,2600,0,1040,False,7-3-6,14,"1-5-4,1-4-5,5-1-4,1-5-3,1-5-7",EngineC
3520260209010009,平塚,2026-02-09,9,5,2700,0,12140,False,2-7-1,14,"5-3-2,5-2-3,5-1-3,5-2-1,5-1-2",EngineC
3520260209020008,平塚,2026-02-10,8,3,2700,0,1070,False,3-5-1,14,"3-7-1,7-2-3,3-1-7,3-7-2,3-7-5",EngineC
3520260209020009,平塚,2026-02-10,9,2,2600,0,16140,False,6-2-1,14,"4-2-5,2-4-5,2-5-4,4-1-5,5-1-4",EngineC
3720260220010006,伊東,2026-02-20,6,5,2400,0,3340,False,2-5-3,14,"5-4-3,5-7-3,5-3-4,5-3-7,5-4-2",EngineC
3720260220010012,伊東,2026-02-20,12,4,2500,730,730,True,4-5-1,14,"4-1-3,4-1-6,4-3-1,4-6-1,4-3-6",EngineC
3720260220020006,伊東,2026-02-21,6,2,2600,0,3930,False,3-1-2,14,"2-1-3,2-3-1,2-1-4,1-2-3,2-3-6",EngineC
3720260220020007,伊東,2026-02-21,7,5,2600,0,3690,False,1-2-4,14,"5-1-3,1-5-3,5-1-2,1-5-2,5-1-4",EngineC
3720260220030007,伊東,2026-02-22,7,1,2400,0,1550,False,1-5-2,14,"1-3-4,1-3-2,3-1-4,3-1-2,1-2-3",EngineC
4520260223010006,豊橋,2026-02-23,6,2,2600,0,3170,False,2-7-5,14,"2-3-7,3-2-7,2-7-3,7-2-3,3-7-2",EngineC
4520260223010008,豊橋,2026-02-23,8,1,2500,650,650,True,1-4-7,14,"1-7-6,1-7-2,1-2-7,2-1-7,2-1-6",EngineC
4520260223010009,豊橋,2026-02-23,9,4,2700,0,830,False,1-4-2,14,"4-7-5,4-5-7,7-4-1,7-1-4,1-7-5",EngineC
4520260223010010,豊橋,2026-02-23,10,2,2600,2940,2940,True,2-4-6,14,"2-5-4,2-5-6,2-4-5,2-6-5,2-4-6",EngineC
4520260223020007,豊橋,2026-02-24,7,2,2700,0,11360,False,2-3-4,14,"2-1-4,1-2-4,2-5-1,2-4-1,4-2-1",EngineC
4720260201010011,松阪,2026-02-01,11,1,2700,0,25260,False,4-6-2,14,"1-5-4,1-5-3,1-4-5,1-4-7,1-7-4",EngineC
4720260201010012,松阪,2026-02-01,12,3,2600,0,12440,False,2-7-1,14,"1-3-7,1-7-3,3-2-6,3-6-2,2-3-4",EngineC
4720260201020009,松阪,2026-02-02,9,1,2600,0,2980,False,1-2-7,14,"1-7-5,7-1-5,1-5-7,7-5-1,1-7-6",EngineC
4720260201020010,松阪,2026-02-02,10,4,2600,0,2880,False,4-2-1,14,"4-7-3,4-7-1,4-2-7,2-4-7,4-1-7",EngineC
4720260201030006,松阪,2026-02-03,6,3,2700,0,3490,False,1-4-5,14,"3-4-1,4-3-1,3-7-1,1-5-3,3-4-7",EngineC
4720260201030007,松阪,2026-02-03,7,3,2300,0,78000,False,5-7-6,14,"3-2-5,3-5-2,3-2-1,3-1-2,3-5-1",EngineC
4720260201030009,松阪,2026-02-03,9,4,2700,0,258080,False,6-1-7,14,"4-1-7,1-4-7,4-7-1,4-1-5,1-4-5",EngineC
7420260210010008,高知,2026-02-10,8,2,2600,0,2300,False,7-2-3,14,"2-4-7,2-4-3,4-2-7,4-2-3,2-7-4",EngineC
7420260210010011,高知,2026-02-10,11,1,2700,0,12620,False,3-1-4,14,"1-5-7,5-1-7,1-5-3,1-7-5,1-5-4",EngineC
8620260212010006,別府,2026-02-12,6,7,2500,0,4210,False,4-2-5,14,"7-3-1,7-1-3,3-7-1,1-7-3,3-1-7",EngineC
8620260212010008,別府,2026-02-12,8,1,2600,0,660,False,4-7-2,14,"1-5-6,1-7-6,1-5-7,1-7-5,7-1-6",EngineC
8620260212010010,別府,2026-02-12,10,2,2400,0,1130,False,5-1-2,14,"2-7-1,2-1-7,2-7-5,2-7-3,2-5-7",EngineC
8620260212010012,別府,2026-02-12,12,3,2700,0,19240,False,1-5-4,14,"4-2-3,2-3-4,3-2-4,4-3-2,5-2-1",EngineC
8620260212020007,別府,2026-02-13,7,1,2400,65640,10940,True,6-1-4,14,"6-1-4,1-6-4,6-4-1,4-6-1,1-4-6",EngineC
8620260212030006,別府,2026-02-14,6,5,2500,0,8750,False,5-2-7,14,"5-3-4,5-3-7,5-4-3,5-3-1,5-1-3",EngineC
8720260220010011,熊本,2026-02-20,11,9,2700,8960,8960,True,2-8-9,14,"9-5-8,5-9-8,9-1-5,9-5-1,8-2-9",EngineC
8720260220010012,熊本,2026-02-20,12,1,2700,0,4120,False,9-1-2,14,"1-8-6,1-6-8,9-8-2,1-8-2,1-4-6",EngineC
8720260220020003,熊本,2026-02-21,3,2,2500,0,35410,False,3-8-4,14,"2-1-5,1-2-5,2-5-1,5-2-1,1-5-2",EngineC
8720260220020004,熊本,2026-02-21,4,7,2700,0,63550,False,5-3-4,14,"2-7-4,2-7-1,7-2-4,2-7-5,7-2-1",EngineC
8720260220020012,熊本,2026-02-21,12,9,2700,0,189590,False,7-4-6,14,"1-4-6,9-4-3,9-4-7,1-4-3,9-4-1",EngineC
8720260220030007,熊本,2026-02-22,7,1,2700,0,1970,False,1-9-5,14,"4-3-1,4-7-3,4-3-7,3-4-1,4-3-6",EngineC
8720260220030011,熊本,2026-02-22,11,3,2700,7930,7930,True,3-8-1,14,"7-4-2,7-2-4,2-7-4,3-8-7,1-5-7",EngineC
8720260220030012,熊本,2026-02-22,12,3,2600,0,21130,False,3-1-5,14,"3-5-9,3-9-5,3-9-1,3-1-9,3-2-5",EngineC
8720260220040002,熊本,2026-02-23,2,3,2700,0,17640,False,3-7-4,14,"3-7-8,7-3-4,3-7-2,3-7-1,7-3-2",EngineC
8720260220040010,熊本,2026-02-23,10,6,2700,5240,5240,True,3-4-9,14,"6-2-4,6-2-5,2-6-4,3-4-6,2-6-5",EngineC
8720260220040012,熊本,2026-02-23,12,4,2400,0,1940,False,3-9-7,14,"4-1-7,4-7-1,4-1-2,4-7-2,4-7-8",EngineC
